published,ecosystem,fixed,severity
2022-03-13T00:00:54Z,Packagist,1.0,MODERATE
2022-03-10T17:37:43Z,Packagist,1.0,LOW
2022-03-03T20:28:47Z,RubyGems,1.0,HIGH
2022-03-18T00:01:11Z,npm,1.0,CRITICAL
2022-03-05T00:00:45Z,Packagist,0.0,MODERATE
2022-03-19T00:01:03Z,PyPI,1.0,MODERATE
2022-03-30T00:00:24Z,Maven,0.0,MODERATE
2022-03-18T17:57:32Z,Maven,1.0,CRITICAL
2022-03-12T00:00:37Z,PyPI,0.0,HIGH
2022-03-05T00:00:45Z,Maven,1.0,CRITICAL
2022-03-20T00:00:30Z,Packagist,0.0,CRITICAL
2022-03-11T23:39:27Z,PyPI,1.0,LOW
2022-03-01T22:22:26Z,RubyGems,1.0,CRITICAL
2022-03-14T22:38:14Z,Packagist,1.0,MODERATE
2022-03-02T00:00:20Z,npm,1.0,MODERATE
2022-03-08T00:00:32Z,PyPI,1.0,MODERATE
2022-03-15T00:00:58Z,Packagist,1.0,CRITICAL
2022-03-01T22:13:28Z,PyPI,1.0,MODERATE
2022-03-18T23:17:15Z,Packagist,1.0,MODERATE
2022-03-01T22:04:17Z,Go,1.0,MODERATE
2022-03-14T22:58:37Z,Go,1.0,HIGH
2022-03-30T00:00:23Z,Maven,0.0,MODERATE
2022-03-26T00:00:29Z,Packagist,1.0,HIGH
2022-03-03T00:00:49Z,Packagist,1.0,HIGH
2022-03-16T00:00:38Z,PyPI,1.0,HIGH
2022-03-02T00:00:21Z,Packagist,0.0,MODERATE
2022-03-18T00:01:11Z,PyPI,1.0,MODERATE
2022-03-12T00:00:37Z,PyPI,0.0,MODERATE
2022-03-04T00:00:15Z,Maven,1.0,MODERATE
2022-03-10T22:07:30Z,Go,1.0,HIGH
2022-03-10T17:55:21Z,Packagist,1.0,MODERATE
2022-03-06T00:00:16Z,PyPI,0.0,CRITICAL
2022-03-12T00:00:37Z,PyPI,0.0,MODERATE
2022-03-18T00:01:11Z,npm,0.0,MODERATE
2022-03-25T00:00:33Z,Packagist,1.0,MODERATE
2022-03-16T00:00:49Z,PyPI,1.0,MODERATE
2022-03-04T00:00:19Z,Packagist,0.0,MODERATE
2022-03-23T00:00:24Z,npm,1.0,HIGH
2022-03-12T00:00:35Z,Packagist,1.0,MODERATE
2022-03-12T00:00:34Z,Packagist,1.0,MODERATE
2022-03-26T00:00:31Z,Maven,1.0,MODERATE
2022-03-04T00:00:18Z,npm,1.0,CRITICAL
2022-03-16T00:00:46Z,Packagist,0.0,HIGH
2022-03-16T00:00:47Z,Packagist,1.0,MODERATE
2022-03-18T23:10:28Z,npm,1.0,HIGH
2022-03-29T22:11:45Z,Packagist,1.0,LOW
2022-03-07T23:44:28Z,PyPI,1.0,MODERATE
2022-03-12T00:00:26Z,npm,1.0,MODERATE
2022-03-12T00:00:37Z,PyPI,1.0,HIGH
2022-03-14T22:57:00Z,Go,1.0,MODERATE
2022-03-18T00:01:09Z,npm,1.0,CRITICAL
2022-03-18T17:55:26Z,Maven,1.0,HIGH
2022-03-10T17:28:55Z,Packagist,1.0,MODERATE
2022-03-01T21:03:11Z,Go,1.0,MODERATE
2022-03-24T00:00:17Z,RubyGems,1.0,CRITICAL
2022-03-18T17:52:43Z,Maven,1.0,HIGH
2022-03-22T00:00:43Z,Packagist,0.0,HIGH
2022-03-18T17:49:28Z,Packagist,1.0,HIGH
2022-03-16T00:00:49Z,Packagist,1.0,MODERATE
2022-03-01T22:14:57Z,npm,1.0,LOW
2022-03-02T21:33:17Z,Go,1.0,HIGH
2022-03-15T00:01:03Z,Packagist,1.0,MODERATE
2022-03-05T00:00:45Z,Packagist,1.0,MODERATE
2022-03-13T00:00:54Z,Go,1.0,MODERATE
2022-03-25T19:26:33Z,Packagist,1.0,HIGH
2022-03-18T00:01:11Z,Go,1.0,HIGH
2022-03-05T00:00:45Z,Packagist,0.0,HIGH
2022-03-15T00:00:59Z,Packagist,1.0,MODERATE
2022-03-08T20:00:36Z,crates.io,1.0,HIGH
2022-03-18T23:18:43Z,PyPI,1.0,HIGH
2022-03-26T00:00:34Z,Packagist,0.0,MODERATE
2022-03-25T00:00:33Z,Packagist,1.0,HIGH
2022-03-18T00:01:11Z,npm,0.0,MODERATE
2022-03-01T22:01:30Z,Packagist,1.0,CRITICAL
2022-03-17T00:00:48Z,Packagist,1.0,MODERATE
2022-03-26T00:00:32Z,Maven,1.0,CRITICAL
2022-03-18T23:11:43Z,PyPI,1.0,HIGH
2022-03-29T22:10:10Z,crates.io,1.0,CRITICAL
2022-03-01T21:47:28Z,Packagist,1.0,MODERATE
2022-03-10T00:00:40Z,Packagist,1.0,CRITICAL
2022-03-11T00:02:00Z,PyPI,1.0,CRITICAL
2022-03-07T00:00:41Z,NuGet,0.0,MODERATE
2022-03-26T00:14:34Z,Packagist,1.0,MODERATE
2022-03-09T15:17:31Z,Packagist,1.0,HIGH
2022-03-15T00:01:01Z,Packagist,1.0,MODERATE
2022-03-18T17:52:25Z,PyPI,1.0,MODERATE
2022-03-01T22:09:25Z,npm,1.0,MODERATE
2022-03-30T21:48:50Z,RubyGems,1.0,CRITICAL
2022-03-05T00:00:44Z,PyPI,1.0,HIGH
2022-03-15T00:01:02Z,npm,1.0,MODERATE
2022-03-29T00:01:16Z,Packagist,1.0,CRITICAL
2022-03-04T00:00:22Z,PyPI,1.0,MODERATE
2022-03-18T17:53:37Z,Packagist,1.0,MODERATE
2022-03-29T19:18:32Z,PyPI,1.0,HIGH
2022-03-18T23:57:52Z,Maven,1.0,MODERATE
2022-03-08T00:00:31Z,PyPI,1.0,CRITICAL
2022-03-12T00:00:30Z,Packagist,1.0,MODERATE
2022-03-22T19:22:59Z,PyPI,1.0,CRITICAL
2022-03-18T00:01:10Z,npm,0.0,HIGH
2022-03-14T22:43:23Z,npm,1.0,MODERATE
2022-03-15T19:02:36Z,Maven,1.0,HIGH
2022-03-29T00:01:16Z,Packagist,1.0,MODERATE
